Task,Trial,ParticipantID,Video
SocialEngagement,1,2018-1_2_f,f_pl_o1_dir_+o
SocialEngagement,2,2018-1_2_f,m_pl_o1_dir_-o
SocialEngagement,3,2018-1_2_f,f_pl_o1_div_+o
SocialEngagement,4,2018-1_2_f,f_pl_o1_dir_-o
SocialEngagement,5,2018-1_2_f,m_pl_o1_dir_+o
SocialEngagement,6,2018-1_2_f,m_pl_o1_div_+o
SocialEngagement,7,2018-1_2_f,f_pl_o1_div_-o
SocialEngagement,8,2018-1_2_f,m_pl_o1_div_-o
SocialEngagement,1,2018-2_1_f,m_pl_o1_div_+o
SocialEngagement,2,2018-2_1_f,f_pl_o1_dir_+o
SocialEngagement,3,2018-2_1_f,m_pl_o1_dir_+o
SocialEngagement,4,2018-2_1_f,f_pl_o1_dir_-o
SocialEngagement,5,2018-2_1_f,f_pl_o1_div_-o
SocialEngagement,6,2018-2_1_f,f_pl_o1_div_+o
SocialEngagement,7,2018-2_1_f,m_pl_o1_dir_-o
SocialEngagement,8,2018-2_1_f,m_pl_o1_div_-o
SocialEngagement,1,2018-3_2_f,m_pl_o1_dir_-o
SocialEngagement,2,2018-3_2_f,f_pl_o1_dir_-o
SocialEngagement,3,2018-3_2_f,f_pl_o1_div_-o
SocialEngagement,4,2018-3_2_f,m_pl_o1_dir_+o
SocialEngagement,5,2018-3_2_f,f_pl_o1_dir_+o
SocialEngagement,6,2018-3_2_f,m_pl_o1_div_+o
SocialEngagement,7,2018-3_2_f,m_pl_o1_div_-o
SocialEngagement,8,2018-3_2_f,f_pl_o1_div_+o
SocialEngagement,1,2018-4_1_F,f_pl_o1_dir_+o
SocialEngagement,2,2018-4_1_F,f_pl_o1_div_-o
SocialEngagement,3,2018-4_1_F,m_pl_o1_div_-o
SocialEngagement,4,2018-4_1_F,m_pl_o1_dir_+o
SocialEngagement,5,2018-4_1_F,m_pl_o1_div_+o
SocialEngagement,6,2018-4_1_F,f_pl_o1_dir_-o
SocialEngagement,7,2018-4_1_F,f_pl_o1_div_+o
SocialEngagement,8,2018-4_1_F,m_pl_o1_dir_-o
SocialEngagement,1,2018-5_2_m,f_pl_o1_dir_+o
SocialEngagement,2,2018-5_2_m,f_pl_o1_div_-o
SocialEngagement,3,2018-5_2_m,m_pl_o1_dir_+o
SocialEngagement,4,2018-5_2_m,m_pl_o1_div_+o
SocialEngagement,5,2018-5_2_m,f_pl_o1_div_+o
SocialEngagement,6,2018-5_2_m,f_pl_o1_dir_-o
SocialEngagement,7,2018-5_2_m,m_pl_o1_dir_-o
SocialEngagement,8,2018-5_2_m,m_pl_o1_div_-o
SocialEngagement,1,2018-6_1_m,f_pl_o1_div_-o
SocialEngagement,2,2018-6_1_m,f_pl_o1_div_+o
SocialEngagement,3,2018-6_1_m,m_pl_o1_dir_-o
SocialEngagement,4,2018-6_1_m,f_pl_o1_dir_-o
SocialEngagement,5,2018-6_1_m,m_pl_o1_div_-o
SocialEngagement,6,2018-6_1_m,m_pl_o1_dir_+o
SocialEngagement,7,2018-6_1_m,m_pl_o1_div_+o
SocialEngagement,8,2018-6_1_m,f_pl_o1_dir_+o
