Trial,ParticipantID,Saccade,Direction,Amplitude,Duration,PeakVelocity,MeanVelocity,Blink,StartTime,EndTime,StartX,StartY,EndX,EndY,Year,Task,ParticipantGender,SearchOrder,Item
1,2018-1_1_f1,1,DOWN,6.94,35,407.45,198.38,FALSE,421,455,876.4,395.1,868.9,676.6,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,2,LEFT,4.45,30,269.3,148.43,FALSE,745,774,850.7,705.9,638.1,806.3,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,3,RIGHT,6.52,35,330.06,186.42,FALSE,1043,1077,644.8,819.7,1014.5,835.4,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,4,RIGHT,10.34,47,408.62,220.05,FALSE,1214,1260,993.9,831.7,1550.3,686.3,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,5,DOWN,3.55,28,213.11,126.85,FALSE,1550,1577,1527.1,665.9,1434.2,801,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,6,LEFT,13.15,78,404.06,168.58,FALSE,1762,1839,1422.5,793.8,784.5,518.6,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,7,LEFT,4.18,60,268.96,69.66,FALSE,1977,2036,795.3,513.6,578.4,570.7,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,8,DOWN,2.48,26,168.09,95.53,FALSE,2215,2240,570.3,572.4,474.2,646.8,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,9,DOWN,1.53,48,151.8,31.89,FALSE,2379,2426,470.1,642.8,452.5,705.9,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,10,RIGHT,4.68,27,302.07,173.29,FALSE,2639,2665,480.7,700,679.8,833.1,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,11,RIGHT,6.57,39,335.49,168.44,FALSE,2892,2930,667.1,834.5,1038.5,812.9,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,12,RIGHT,8.39,41,337.67,204.67,FALSE,3152,3192,1012.3,815.9,1477.1,734.8,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,13,LEFT,3.68,29,205.56,126.79,FALSE,3403,3431,1464.9,728.4,1260,701.2,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,14,RIGHT,1.91,22,127.8,86.91,FALSE,3645,3666,1265.7,704.4,1353.9,658.8,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,15,RIGHT,6.41,37,319.38,173.19,FALSE,3955,3991,1341,648.6,1699,708.8,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,16,DOWN,6.29,34,310.79,185.14,FALSE,4344,4377,1661.1,685.7,1422,893.4,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,17,DOWN,2.61,25,163.31,104.28,FALSE,4667,4691,1428.2,890,1469.5,1003.6,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,18,LEFT,15.7,134,466.54,117.17,FALSE,5026,5159,1466.2,1000.6,565,867.1,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,19,UP,2.76,33,158.55,83.71,FALSE,5293,5325,574.1,868.4,659.8,767.9,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,20,RIGHT,6.96,37,359.23,188.01,FALSE,5491,5527,629.1,774.3,1020.9,794.4,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,21,LEFT,3.02,27,194.73,112.02,FALSE,5833,5859,1005.4,802.5,836.2,819.1,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,22,RIGHT,2.39,25,155.44,95.59,FALSE,6009,6033,832.1,810.8,960.8,781.2,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,23,LEFT,0.68,11,55.07,62.2,FALSE,6183,6193,960,780.5,922.3,775,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,24,UP,5.86,37,232,158.47,FALSE,6412,6448,942.8,758,742.1,566,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,25,UP,2.87,27,159.15,106.29,FALSE,6630,6656,751.8,537.1,654.5,446.4,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,26,LEFT,4.86,213,229.47,22.83,FALSE,6873,7085,656,441.1,392,404.9,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,27,RIGHT,5.62,34,264.38,165.35,FALSE,7222,7255,404,410.4,710.2,445.8,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,28,RIGHT,15.33,53,540.75,289.25,FALSE,7427,7479,679.9,432.2,1527.2,452.3,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,29,LEFT,4.29,45,239.69,95.27,FALSE,7716,7760,1505.5,437.8,1269.9,457,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,30,LEFT,10.3,161,365.52,64,FALSE,7977,8137,1280.4,459.9,824.5,224.8,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,31,RIGHT,13.99,60,542.92,233.19,FALSE,8171,8230,837.6,212.3,1602.4,192.1,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,32,RIGHT,1.71,22,113.29,77.9,FALSE,8424,8445,1610.2,194,1703.7,177.4,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,33,LEFT,24.52,392,562.27,62.56,TRUE,8692,9083,1673.3,189.1,413.3,603.9,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,34,DOWN,1.52,21,96.57,72.24,FALSE,9302,9322,416.8,617.6,448.6,676.6,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,35,RIGHT,7.66,37,377.22,207.14,FALSE,9504,9540,456.5,673.9,869.5,590.3,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,36,RIGHT,3.7,24,223.94,154.16,FALSE,9772,9795,848,586.3,1051.1,588.2,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,37,LEFT,4.15,48,232.54,86.56,FALSE,9938,9985,1026,590,798.8,575,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,38,RIGHT,9.05,52,416.89,173.98,FALSE,10536,10587,807.8,588.3,1307,617.4,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,39,UP,0.94,19,61.26,49.59,FALSE,10863,10881,1296.4,626.2,1300.5,587.5,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,40,LEFT,1.33,19,94.75,69.82,FALSE,11041,11059,1287.7,582.5,1215.9,571.6,2018,VisualSearch_Star,Female,1,sheep.jpg
